"crrdr_d","ID","endID","all_pa_area_sqkm","all_pa_pct_overlap","nPAs","LCP_length_km","nKBAs"
"CORR0249","Cusuco","H0216",10340.3308343778,48.2557816891135,3,109.145930380705,4
"CORR0250","Cusuco","H0211",7102.4675513958,29.1090909879019,3,124.184532866269,1
"CORR0251","Texiguat","H0149",1532.67041872134,100,1,7.64873931300009,1
"CORR0252","Texiguat","H0155",2608.35606789005,100,1,13.0759393817472,1
"CORR0253","Texiguat","H0155",2349.94949063356,100,1,11.7501517372667,1
"CORR0254","Texiguat","H0131",10966.6296438687,99.2288139058969,2,55.8836073693518,2
"CORR0255","Texiguat","H0131",11393.4014461397,99.2574863542734,2,58.0369441496177,2
"CORR0256","Utria","H0510",3853.96278510473,12.5897169525484,1,154.515225398442,1
"CORR0257","Utria","H0510",4390.10203498283,14.5568576401742,1,152.543825681233,1
"CORR0258","Utria","H0510",5862.4808036583,19.7508485515143,3,149.463984103201,4
"CORR0259","Utria","H0510",4201.44309477792,13.1738334562046,2,161.294693741604,1
"CORR0260","Utria","H0510",4390.10203498283,13.5670751764522,1,163.569385723,1
"CORR0261","La Amistad","H0366",3782.75868409998,100,1,18.8524261167924,1
"CORR0262","La Amistad","H0369",6709.14266419769,100,1,33.5628339865987,1
"CORR0263","La Amistad","H0369",15962.1521173385,100,2,80.0483829444875,2
"CORR0264","La Amistad","H0369",12486.2870437736,100,1,62.6998712342031,1
"CORR0265","La Amistad","H0369",3594.27463250796,65.49983041724,3,27.4083479326539,4
"CORR0266","Cerro Cahuí","H0124",12173.6301715911,21.1955640985739,5,295.616464174652,5
"CORR0267","Cerro Cahuí","H0145",13740.7940245538,26.4119877758879,8,266.562408328126,5
"CORR0268","Cerro Cahuí","H0134",12453.9715272018,21.5779575561508,6,297.101980820315,5
"CORR0269","Cerro Cahuí","H0176",39410.4334426061,60.073206487506,11,335.832022723886,5
"CORR0270","Cerro Cahuí","H0148",11974.5073477631,20.7246724398237,7,296.30221980307,5
"CORR0271","Sierra del Lacandón","H0013",7888.84838045293,28.7413593602436,2,141.997644120285,3
"CORR0272","Sierra del Lacandón","H0033",8012.22695120949,31.7156388324831,2,130.528114318299,2
"CORR0273","Sierra del Lacandón","H0010",7888.84838045293,27.5755391116271,2,148.014609234922,3
"CORR0274","Sierra del Lacandón","H0008",9030.20130271052,30.2355518774387,4,154.537433460314,3
"CORR0275","Sierra del Lacandón","H0011",7888.84838045293,26.7410846927287,2,152.664064871027,3
"CORR0276","Laguna del Tigre","H0033",27348.9790695091,61.20417867642,5,230.80832602824,2
"CORR0277","Laguna del Tigre","H0048",27348.9790695091,65.8146102754232,5,214.50674978279,2
"CORR0278","Laguna del Tigre","H0013",28237.0074668145,58.9236813615399,5,247.629232832927,3
"CORR0279","Laguna del Tigre","H0052",27348.9790695091,65.2534394343309,5,216.390895530863,2
"CORR0280","Laguna del Tigre","H0010",28237.0074668145,57.5305759336723,5,253.646197947565,3
"CORR0281","Laguna del Tigre -Río Escondido-","H0033",16609.7604812172,48.9510802630746,5,175.267038467426,2
"CORR0282","Laguna del Tigre -Río Escondido-","H0048",16609.7604812172,53.9009309309791,5,159.041285288021,2
"CORR0283","Laguna del Tigre -Río Escondido-","H0013",17486.4063538536,47.0375833035245,5,192.08794527211,3
"CORR0284","Laguna del Tigre -Río Escondido-","H0052",16609.7604812172,53.2622503129977,5,161.001254102141,2
"CORR0285","Laguna del Tigre -Río Escondido-","H0010",17486.4063538536,45.6137660408508,5,198.104910386748,3
"CORR0286","Mirador - Río Azul","H0048",27735.9596158279,35.7566977805276,6,399.150100866817,2
"CORR0287","Mirador - Río Azul","H0052",27735.9596158279,35.5927196635666,6,401.034246614891,2
"CORR0288","Mirador - Río Azul","H0033",27735.9596158279,34.3597127980411,6,415.603323244358,2
"CORR0289","Mirador - Río Azul","H0013",28613.0518587861,34.0936640445368,6,432.196760850904,3
"CORR0290","Mirador - Río Azul","H0010",28613.0518587861,33.6286848965043,6,438.21372596554,3
"CORR0291","Naachtún - Dos Lagunas","H0048",26989.5894074123,38.2614467048835,7,363.288788558591,2
"CORR0292","Naachtún - Dos Lagunas","H0052",26989.5894074123,38.062066203921,7,365.248757372711,2
"CORR0293","Naachtún - Dos Lagunas","H0033",26989.5894074123,36.6246285160996,7,379.742010936131,2
"CORR0294","Naachtún - Dos Lagunas","H0013",27865.0167233717,36.2320518202545,7,396.411271608724,3
