ID,endID,crrdr_d,focal_pa_area_sqkm,focal_pa_pct_overlap,nPAs,LCP_length_km,nKBAs,biomass_mean,biomass_min,biomass_max,mean_m,min_m,max_m,range_m,nCountries,Countries,name,iso_a3,are_km2,endnode_elevrange_m,StartNode_areakm2,StartNode_elevrange_m
La Cangreja,H0356,CORR0453,2147.989252,29.10251776,2,37.01166748,2,72.84546371,31.17031097,121.1969528,883.9481501,261,2022,1761,1,CRI,Costa Rica,CRI,10.9,734,6.233479259,225.3703003
La Cangreja,H0362,CORR0454,3795.877912,29.65557559,4,64.39288104,3,91.64196866,30.10494804,147.4406433,1452.703932,130,2415,2285,1,CRI,Costa Rica,CRI,9.2,726,6.233479259,225.3703003
La Cangreja,H0361,CORR0451,1188.723993,19.29390408,1,30.90205982,3,94.81980318,50.42831802,134.022171,817.5458549,130,1914,1784,1,CRI,Costa Rica,CRI,18.4,1045,6.233479259,225.3703003
La Cangreja,H0369,CORR0455,5180.011657,37.29363221,4,69.80976622,3,91.97652211,30.10494804,151.7349854,1455.982241,130,2415,2285,1,CRI,Costa Rica,CRI,4712.9,2632.327881,6.233479259,225.3703003
La Cangreja,H0363,CORR0452,1188.723993,17.94607932,1,33.26335202,3,85.70609543,35.00072479,130.3444214,620.6736113,130,1846,1716,1,CRI,Costa Rica,CRI,8.4,1051,6.233479259,225.3703003
Cuencas y corales de la zona costera de Huatulco,H0062,CORR2106,0,0,0,63.04219104,0,35.81028452,6.71820116,75.73796082,367.4764398,11.68207359,1935,1923.317926,1,MEX,Mexico,MEX,6.7,657.6276855,6.246758817,105
Cuencas y corales de la zona costera de Huatulco,H0027,CORR2110,0,0,0,122.5543369,1,36.36943812,6.71820116,73.90940094,631.1966756,11.68207359,2024,2012.317926,1,MEX,Mexico,MEX,21.8,786,6.246758817,105
Cuencas y corales de la zona costera de Huatulco,H0034,CORR2109,0,0,0,118.3180979,1,35.68684888,6.71820116,73.90940094,585.4376765,11.68207359,1730,1718.317926,1,MEX,Mexico,MEX,5,547.4034424,6.246758817,105
Cuencas y corales de la zona costera de Huatulco,H0053,CORR2107,0,0,0,82.36795332,1,37.10899347,6.71820116,73.90940094,511.8894751,11.68207359,1733,1721.317926,1,MEX,Mexico,MEX,37.7,919,6.246758817,105
Cuencas y corales de la zona costera de Huatulco,H0053,CORR2108,0,0,0,85.32282087,1,37.14984005,6.71820116,73.90940094,548.447146,11.68207359,1773,1761.317926,1,MEX,Mexico,MEX,37.7,919,6.246758817,105
Finca Setal,H0220,CORR1187,7898.798461,72.68390053,8,55.53589898,2,87.89555603,46.31451416,126.2290726,635.9951196,3,1750,1747,1,GTM,Guatemala,GTM,753.9,1763,6.265884315,14
